augmentation_techniques,p_augmentation,p_augmentation_per_technique,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
['gaussian_noise'],0.5,0.5,0.300000012,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.300370395,0.547619045,0.762499988,0.095238097,1,0.524999976,0.173913047,0.310958236,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059
"['gaussian_noise', 'brightness']",0.5,0.5,0.300000012,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.26486516,0.285714298,0.625,0.0625,1,0.25,0.117647059,0.294934243,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'flip', 'gaussian_noise']",0.5,0.5,0.300000012,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.277232885,0.357142866,0.662500024,0.068965517,1,0.324999988,0.129032254,0.296495914,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
"['gaussian_noise', 'brightness']",0.3,0.8,0.349999994,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.350061089,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.350061089,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
['brightness'],0.3,0.8,0.300000012,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.309580088,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.309580088,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
['shear'],0.5,0.8,0.300000012,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.292167872,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.292167872,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
['gaussian_noise'],0.3,0.8,0.300000012,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.305961013,0.523809552,0.75,0.090909094,1,0.5,0.166666672,0.305961013,0.523809552,0.75,0.090909094,1,0.5,0.166666672
"['flip', 'gaussian_noise']",0.3,0.5,0.300000012,0.285714298,0.625,0.0625,1,0.25,0.117647059,0.296279371,0.285714298,0.625,0.0625,1,0.25,0.117647059,0.3211146,0.547619045,0.524999976,0.052631579,0.5,0.550000012,0.095238097
"['shear', 'gaussian_noise']",0.3,0.5,0.300000012,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.315278053,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.315278053,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187
"['flip', 'brightness']",0.3,0.5,0.300000012,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.314287096,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.314287096,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
