learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,2,0.5,0.0001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.416466623544693,0.8571428656578064,0.6875,0.1666666716337204,0.5,0.875,0.25,0.416466623544693,0.8571428656578064,0.6875,0.1666666716337204,0.5,0.875,0.25
0.0001,2,0.5,0.001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.3842123746871948,0.3095238208770752,0.4000000059604645,0.03448275849223137,0.5,0.30000001192092896,0.06451612710952759,0.38459688425064087,0.5,0.5,0.0476190485060215,0.5,0.5,0.08695652335882187
0.0001,2,0.5,0.001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4293617904186249,0.8809523582458496,0.4625000059604645,0.0,0.0,0.925000011920929,,0.42746424674987793,0.7857142686843872,0.6499999761581421,0.1111111119389534,0.5,0.800000011920929,0.1818181872367859
0.0001,2,0.5,0.001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.39578789472579956,0.9523809552192688,0.5,,0.0,1.0,,0.3942521810531616,0.9523809552192688,0.5,,0.0,1.0,
0.0001,2,0.5,0.001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4931502938270569,0.8809523582458496,0.9375,0.2857142984867096,1.0,0.875,0.4444444477558136,0.49323710799217224,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,2,0.5,0.001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4722033143043518,0.5952380895614624,0.550000011920929,0.05882352963089943,0.5,0.6000000238418579,0.10526315867900848,0.4722033143043518,0.5952380895614624,0.550000011920929,0.05882352963089943,0.5,0.6000000238418579,0.10526315867900848
0.0001,2,0.5,0.001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.31661441922187805,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.31661441922187805,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
0.0001,4,0.1,0.0001,1,64,0.44999998807907104,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.47984543442726135,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.47984543442726135,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,4,0.1,0.0001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.45540720224380493,0.738095223903656,0.625,0.09090909361839294,0.5,0.75,0.1538461595773697,0.4562988877296448,0.8571428656578064,0.6875,0.1666666716337204,0.5,0.875,0.25
0.0001,4,0.1,0.0001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.030297160148620605,0.8571428656578064,0.925000011920929,0.25,1.0,0.8500000238418579,0.4000000059604645,0.030297160148620605,0.8571428656578064,0.925000011920929,0.25,1.0,0.8500000238418579,0.4000000059604645
