learning_rate,batch_size,dropout,weight_decay,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,16,0.3,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.490480423,0.523809552,0.75,0.090909094,1,0.5,0.166666672,0.490480423,0.523809552,0.75,0.090909094,1,0.5,0.166666672
0.0001,16,0.3,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.489222258,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.489222258,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
0.0001,16,0.5,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.553311944,0.071428575,0.512499988,0.048780486,1,0.025,0.093023255,0.562571406,0.095238097,0.287499994,0.02631579,0.5,0.075000003,0.050000001
0.0001,16,0.5,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.537621677,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.537621677,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343
0.0001,16,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.556578755,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.556578755,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
0.0001,16,0.7,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.500788629,0.571428597,0.300000012,0,0,0.600000024,,0.500767648,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998
0.0001,16,0.7,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.375453919,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998,0.375453919,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998
1.00E-05,2,0.3,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.346848488,0.785714269,0.887499988,0.181818187,1,0.774999976,0.307692319,0.346848488,0.785714269,0.887499988,0.181818187,1,0.774999976,0.307692319
1.00E-05,2,0.5,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.492438316,0.738095224,0.387499988,0,0,0.774999976,,0.492438316,0.738095224,0.387499988,0,0,0.774999976,
1.00E-05,2,0.5,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.448958248,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.448684692,0.619047642,0.800000012,0.111111112,1,0.600000024,0.200000003
1.00E-05,2,0.5,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.435326785,0.714285731,0.850000024,0.142857149,1,0.699999988,0.25,0.435326785,0.714285731,0.850000024,0.142857149,1,0.699999988,0.25
1.00E-05,2,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.507987082,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.507987082,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
1.00E-05,2,0.7,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.418278098,0.761904776,0.875,0.166666672,1,0.75,0.285714298,0.417840362,0.714285731,0.850000024,0.142857149,1,0.699999988,0.25
1.00E-05,4,0.3,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.474061638,0.952380955,0.5,,0,1,,0.459581852,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001
1.00E-05,4,0.5,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,1.503757954,0.952380955,0.5,,0,1,,0.498381138,0.428571433,0.224999994,0,0,0.449999988,
1.00E-05,4,0.5,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.455466151,0.571428597,0.774999976,0.100000001,1,0.550000012,0.181818187,0.455983102,0.785714269,0.887499988,0.181818187,1,0.774999976,0.307692319
1.00E-05,4,0.5,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.379011899,0.59523809,0.787500024,0.105263159,1,0.574999988,0.190476194,0.379011899,0.59523809,0.787500024,0.105263159,1,0.574999988,0.190476194
1.00E-05,4,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.470893502,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.470893502,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
1.00E-05,4,0.7,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.330567658,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.325078726,0.547619045,0.524999976,0.052631579,0.5,0.550000012,0.095238097
1.00E-05,4,0.7,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.467424929,0.90476191,0.949999988,0.333333343,1,0.899999976,0.5,0.467424929,0.90476191,0.949999988,0.333333343,1,0.899999976,0.5
1.00E-05,8,0.3,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.424179256,0.642857134,0.8125,0.117647059,1,0.625,0.210526317,0.424179256,0.642857134,0.8125,0.117647059,1,0.625,0.210526317
1.00E-05,8,0.3,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.479160875,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.479160875,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
1.00E-05,8,0.5,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.475508273,0.90476191,0.474999994,0,0,0.949999988,,0.474493086,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224
1.00E-05,8,0.5,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,1.48000288,0.952380955,0.5,,0,1,,0.453311682,0.880952358,0.462500006,0,0,0.925000012,
1.00E-05,8,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.460245818,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.460443884,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
1.00E-05,16,0.3,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.484522909,0.809523821,0.899999976,0.200000003,1,0.800000012,0.333333343,0.484522909,0.809523821,0.899999976,0.200000003,1,0.800000012,0.333333343
1.00E-05,16,0.3,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.444243759,0.047619049,0.5,0.047619049,1,0,0.090909094,0.467180401,0.238095239,0.362500012,0.03125,0.5,0.224999994,0.05882353
1.00E-05,16,0.3,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.520859182,0.619047642,0.800000012,0.111111112,1,0.600000024,0.200000003,0.520859182,0.619047642,0.800000012,0.111111112,1,0.600000024,0.200000003
1.00E-05,16,0.5,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,1.517549276,0.952380955,0.5,,0,1,,0.503900468,0.357142866,0.1875,0,0,0.375,
1.00E-05,16,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.534881651,0.666666687,0.824999988,0.125,1,0.649999976,0.222222224,0.534881651,0.666666687,0.824999988,0.125,1,0.649999976,0.222222224
1.00E-05,16,0.7,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.505873501,0.357142866,0.425000012,0.037037037,0.5,0.349999994,0.068965517,0.505947649,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
1.00E-05,16,0.7,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.489842683,0.047619049,0.5,0.047619049,1,0,0.090909094,0.511958718,0.357142866,0.1875,0,0,0.375,
0.0001,2,0.3,0.0001,0.400000006,0.880952358,0.462500006,0,0,0.925000012,,0.369322896,0.619047642,0.800000012,0.111111112,1,0.600000024,0.200000003,0.370525092,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
0.0001,4,0.5,1.00E-05,0.150000006,0.690476179,0.362500012,0,0,0.725000024,,0.161962703,0.690476179,0.362500012,0,0,0.725000024,,0.161962703,0.690476179,0.362500012,0,0,0.725000024,
0.0001,4,0.7,0.0001,0.25,0.880952358,0.462500006,0,0,0.925000012,,0.221297517,0.761904776,0.400000006,0,0,0.800000012,,0.221297517,0.761904776,0.400000006,0,0,0.800000012,
1.00E-05,2,0.7,0.0001,0.5,0.880952358,0.462500006,0,0,0.925000012,,0.472684115,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.472684115,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224
1.00E-05,16,0.5,0.001,0.5,0.880952358,0.462500006,0,0,0.925000012,,0.473892182,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.474818558,0.59523809,0.787500024,0.105263159,1,0.574999988,0.190476194
