learning_rate,batch_size,dropout,weight_decay,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
1e-05,16,0.1,0.0001,3,False,0.4000000059604645,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.35339540243148804,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.35850954055786133,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1e-05,16,0.3,0.001,2,True,0.3499999940395355,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.3293420970439911,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.3365876376628876,0.7222222089767456,0.625,0.20000000298023224,0.5,0.75,0.2857142984867096
1e-05,16,0.3,0.001,2,False,0.30000001192092896,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.2921511232852936,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.2921511232852936,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
1e-05,16,0.3,0.001,3,True,0.30000001192092896,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.29077935218811035,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.3171320855617523,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,16,0.3,0.001,3,False,0.3499999940395355,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859,0.33063429594039917,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.3420863747596741,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,16,0.3,0.0001,2,True,0.3499999940395355,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.35122421383857727,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.3690871298313141,0.5277777910232544,0.515625,0.11764705926179886,0.5,0.53125,0.190476194024086
1e-05,16,0.3,0.0001,2,False,0.3499999940395355,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.2812667787075043,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.3035794794559479,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,16,0.3,0.0001,3,True,0.30000001192092896,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.30575624108314514,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787,0.30575624108314514,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787
1e-05,16,0.3,0.0001,3,False,0.3499999940395355,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.3456927537918091,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.35920026898384094,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,16,0.5,0.001,2,True,0.4000000059604645,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.35500091314315796,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787,0.35500091314315796,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787
