version,learning_rate,batch_size,dropout,weight_decay,rnn_type,hidden_size,num_layers,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
22,0.0001,2,0.3,0.001,gru,256,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.27643904089927673,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.27643904089927673,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
23,0.0001,2,0.3,0.001,gru,256,1,True,0.15000000596046448,0.9166666865348816,0.625,1.0,0.25,1.0,0.4000000059604645,0.12015793472528458,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.12015793472528458,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
24,0.0001,4,0.3,0.001,gru,64,1,False,0.25,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859,0.26182839274406433,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848,0.26182839274406433,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848
25,0.0001,4,0.3,0.001,gru,64,1,True,0.20000000298023224,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.19801726937294006,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.19801726937294006,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096
26,0.0001,4,0.3,0.001,gru,128,1,False,0.25,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394,0.22031088173389435,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.22031088173389435,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
27,0.0001,4,0.3,0.001,gru,128,1,True,0.25,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.21860161423683167,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.21860161423683167,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
28,0.0001,4,0.3,0.001,gru,256,1,False,0.25,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.24478688836097717,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.24478688836097717,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
29,0.0001,4,0.3,0.001,gru,256,1,True,0.10000000149011612,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.12651866674423218,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.12651866674423218,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
30,0.0001,4,0.3,0.001,gru,64,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.26663991808891296,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.26663991808891296,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
31,0.0001,4,0.3,0.001,gru,64,1,True,0.30000001192092896,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.23518337309360504,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.24164144694805145,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
32,0.0001,4,0.3,0.001,gru,128,1,False,0.25,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.22055098414421082,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.22055098414421082,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
33,0.0001,4,0.3,0.001,gru,128,1,True,0.30000001192092896,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.30733373761177063,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.2592255473136902,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408
34,0.0001,4,0.3,0.001,gru,256,1,False,0.25,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408,0.24250829219818115,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.24250829219818115,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
35,0.0001,4,0.3,0.001,gru,256,1,True,0.20000000298023224,0.6666666865348816,0.8125,0.25,1.0,0.625,0.4000000059604645,0.20858247578144073,0.6388888955116272,0.6875,0.20000000298023224,0.75,0.625,0.31578946113586426,0.24537710845470428,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579
