learning_rate,batch_size,dropout,weight_decay,gamma_fl,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.01,16,0.3,0.001,3,0.20000000298023224,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.16187745332717896,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.19883129000663757,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
0.01,16,0.3,0.01,2,0.25,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.2478105127811432,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.27392250299453735,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,16,0.3,0.01,3,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.33101800084114075,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.33223506808280945,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,32,0.0,0.0001,2,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.03976188972592354,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.03976188972592354,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
0.01,32,0.0,0.0001,3,0.20000000298023224,0.8888888955116272,0.5,,0.0,1.0,,0.08183398842811584,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.09574712067842484,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
0.01,32,0.0,0.001,2,0.10000000149011612,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.12373890727758408,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.12373890727758408,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,32,0.0,0.001,3,0.20000000298023224,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.20107538998126984,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.20107538998126984,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,32,0.0,0.01,2,0.25,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.25646305084228516,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.2858303487300873,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,32,0.0,0.01,3,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3394162058830261,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.3394162058830261,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
0.01,32,0.1,0.0001,2,0.05000000074505806,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.025181815028190613,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.025181815028190613,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
